Trust Code,Trust Name,Region,ICB,Predecessors,Successors,Total Quantity,Unit
RW5,"Lancashire & South Cumbria NHS Foundation Trust","North West","NHS Lancashire And South Cumbria","","",57624.422004387336,"DDD (24.0 mmol)"
RXN,"Lancashire Teaching Hospitals NHS Foundation Trust","North West","NHS Lancashire And South Cumbria","","",18004.863334676065,"DDD (24.0 mmol)"
RGD,"Leeds And York Partnership NHS Foundation Trust","North East And Yorkshire","NHS West Yorkshire","","",84441.03152763059,"DDD (24.0 mmol)"
RY6,"Leeds Community Healthcare NHS Trust","North East And Yorkshire","NHS West Yorkshire","","",0,""
RR8,"Leeds Teaching Hospitals NHS Trust","North East And Yorkshire","NHS West Yorkshire","","",38073.422725800025,"DDD (24.0 mmol)"
RT5,"Leicestershire Partnership NHS Trust","Midlands","NHS Leicester, Leicestershire And Rutland","","",78913.4692609378,"DDD (24.0 mmol)"
RJ2,"Lewisham And Greenwich NHS Trust","London","NHS South East London","","",21430.52023056489,"DDD (24.0 mmol)"
RY5,"Lincolnshire Community Health Services NHS Trust","Midlands","NHS Lincolnshire","","",0,""
RP7,"Lincolnshire Partnership NHS Foundation Trust","Midlands","NHS Lincolnshire","","",22675.537998653297,"DDD (24.0 mmol)"
RBQ,"Liverpool Heart And Chest Hospital NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",1266.0196923265871,"DDD (24.0 mmol)"
REM,"Liverpool University Hospitals NHS Foundation Trust","North West","NHS Cheshire And Merseyside","RQ6","",26570.60972041397,"DDD (24.0 mmol)"
REP,"Liverpool Women's NHS Foundation Trust","North West","NHS Cheshire And Merseyside","","",138.58891288696907,"DDD (24.0 mmol)"
R1K,"London North West University Healthcare NHS Trust","London","NHS North West London","","",8834.521305609362,"DDD (24.0 mmol)"
RWF,"Maidstone And Tunbridge Wells NHS Trust","South East","NHS Kent And Medway","","",9391.98329124122,"DDD (24.0 mmol)"
R0A,"Manchester University NHS Foundation Trust","North West","NHS Greater Manchester","RW3,RW6,RM2","",42869.103498613804,"DDD (24.0 mmol)"
RPA,"Medway NHS Foundation Trust","South East","NHS Kent And Medway","","",6203.678397007677,"DDD (24.0 mmol)"
RBN,"Mersey And West Lancashire Teaching Hospitals NHS Trust","North West","NHS Cheshire And Merseyside","RVY","",17227.216698539356,"DDD (24.0 mmol)"
RW4,"Mersey Care NHS Foundation Trust","North West","NHS Cheshire And Merseyside","RTV","",257550.6724885308,"DDD (24.0 mmol)"
RAJ,"Mid And South Essex NHS Foundation Trust","East Of England","NHS Mid And South Essex","RDD,RQ8","",11521.30569528976,"DDD (24.0 mmol)"
